          area       scp  index                  dt     i     o  idiff  odiff     idiff_ph   odiff_ph        iz        oz     cumiz     cumoz



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280211  PTH03  00-01-08  11510 2020-03-31 22:29:34  38942  29015      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280212  PTH03  00-01-08  11511 2020-04-01 02:41:34  38942  29015      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280213  PTH03  00-01-08  11512 2020-04-01 06:53:34  38942  29015      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280214  PTH03  00-01-08  11513 2020-04-01 07:26:20      1      0 -38941.0 -29015.0 -71306.002035 -53130.213632  1.046896  1.000503  0.071086  0.065521
40280215  PTH03  00-01-08  11514 2020-04-01 11:05:34  38942  29015  38941.0  29015.0  10657.412194   7940.854493  0.139923  0.131701  0.009069  0.008119
40280216  PTH03  00-01-08  11515 2020-04-01 15:17:34  38942  29015      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280217  PTH03  00-01-08  11516 2020-04-01 19:29:34  38942  29015      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280218  PTH03  00-01-08  11517 2020-04-01 23:41:34  38942  29015      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280219  PTH03  00-01-08  11518 2020-04-02 03:53:34  38942  29015      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280292  PTH03  00-01-08  11591 2020-04-14 23:25:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280293  PTH03  00-01-08  11592 2020-04-15 03:37:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280294  PTH03  00-01-08  11593 2020-04-15 07:49:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280295  PTH03  00-01-08  11594 2020-04-15 09:14:46      1      0 -38941.0 -29036.0 -27423.239437 -20447.887324  0.390649  0.372159  0.026213  0.024006
40280296  PTH03  00-01-08  11595 2020-04-15 12:01:34  38942  29036  38941.0  29036.0  14007.553957  10444.604317  0.190023  0.179838  0.012495  0.011300
40280297  PTH03  00-01-08  11596 2020-04-15 16:13:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280298  PTH03  00-01-08  11597 2020-04-15 20:25:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280299  PTH03  00-01-08  11598 2020-04-16 00:37:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280300  PTH03  00-01-08  11599 2020-04-16 04:49:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280330  PTH03  00-01-08  11629 2020-04-21 10:49:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280331  PTH03  00-01-08  11630 2020-04-21 15:01:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280332  PTH03  00-01-08  11631 2020-04-21 19:13:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280333  PTH03  00-01-08  11632 2020-04-21 20:11:30      1      0 -38941.0 -29036.0 -40330.149597 -30071.806674  0.583666  0.557186  0.039411  0.036231
40280334  PTH03  00-01-08  11633 2020-04-21 23:25:34  38942  29036  38941.0  29036.0  12039.470972   8977.121264  0.160591  0.151624  0.010482  0.009436
40280335  PTH03  00-01-08  11634 2020-04-22 03:37:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280336  PTH03  00-01-08  11635 2020-04-22 07:49:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280337  PTH03  00-01-08  11636 2020-04-22 12:01:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280338  PTH03  00-01-08  11637 2020-04-22 16:13:34  38942  29036      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff     idiff_ph     odiff_ph        iz        oz     cumiz     cumoz
40280340  PTH03  00-01-08  11639 2020-04-23 00:37:34  38942  29036      0.0      0.0     0.000000     0.000000  0.019454  0.020968  0.001829  0.001967
40280341  PTH03  00-01-08  11640 2020-04-23 04:49:34  38942  29036      0.0      0.0     0.000000     0.000000  0.019454  0.020968  0.001829  0.001967
40280342  PTH03  00-01-08  11641 2020-04-23 09:01:34  38942  29036      0.0      0.0     0.000000     0.000000  0.019454  0.020968  0.001829  0.001967
40280343  PTH03  00-01-08  11642 2020-04-23 13:02:55      1      0 -38941.0 -29036.0 -9680.795525 -7218.396520  0.125318  0.117811  0.008070  0.007202
40280344  PTH03  00-01-08  11643 2020-04-23 17:11:34  38942  29036  38941.0  29036.0  9396.581540  7006.474965  0.121068  0.113737  0.007780  0.006933
40280345  PTH03  00-01-08  11644 2020-04-23 21:12:55     93     45 -38849.0 -28991.0 -9657.924177 -7207.209447  0.124976  0.117596  0.008047  0.007187
40280346  PTH03  00-01-08  11645 2020-04-24 01:21:34  38942  29036  38849.0  28991.0  9374.381661  6995.616328  0.120736  0.113528  0.007757  0.006919
40280347  PTH03  00-01-08  11646 2020-04-24 05:22:55    125     74 -38817.0 -28962.0 -9649.968925 -7200.000000  0.124857  0.117458  0.008039  0.007178
40280348  PTH03  00-01-08  11647 2020-04-24 09:31:34  38942  29036  38817.0  28962.0  9366.659964  6988.618540  0.120620  0.113394  0.007749  0.006910



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280658  PTH03  00-01-08  11957 2020-06-16 00:47:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280659  PTH03  00-01-08  11958 2020-06-16 04:59:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280660  PTH03  00-01-08  11959 2020-06-16 08:03:38      1      0 -38941.0 -29387.0 -12693.553060  -9579.246650  0.170373  0.163201  0.011151  0.010201
40280661  PTH03  00-01-08  11960 2020-06-16 08:09:09      1      0      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280662  PTH03  00-01-08  11961 2020-06-16 09:11:34  38942  29387  38941.0  29387.0  37433.271028  28249.185581  0.540344  0.522145  0.036449  0.033916
40280663  PTH03  00-01-08  11962 2020-06-16 17:35:34  38954  29413     12.0     26.0      1.428571      3.095238  0.019433  0.020909  0.001827  0.001963
40280664  PTH03  00-01-08  11963 2020-06-16 21:47:34  38958  29433      4.0     20.0      0.952381      4.761905  0.019440  0.020877  0.001828  0.001961
40280665  PTH03  00-01-08  11964 2020-06-17 01:59:34  38962  29453      4.0     20.0      0.952381      4.761905  0.019440  0.020877  0.001828  0.001961
40280666  PTH03  00-01-08  11965 2020-06-17 06:11:34  38965  29461      3.0      8.0      0.714286      1.904762  0.019443  0.020932  0.001828  0.001965



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280634  PTH03  00-01-08  11933 2020-06-12 00:11:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280635  PTH03  00-01-08  11934 2020-06-12 04:23:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280636  PTH03  00-01-08  11935 2020-06-12 08:35:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280637  PTH03  00-01-08  11936 2020-06-12 10:28:49      1      0 -38941.0 -29387.0 -20630.993377 -15569.271523  0.289074  0.278364  0.019268  0.017809
40280638  PTH03  00-01-08  11937 2020-06-12 12:47:34  38942  29387  38941.0  29387.0  16839.351351  12707.891892  0.232371  0.223351  0.015390  0.014175
40280639  PTH03  00-01-08  11938 2020-06-12 16:59:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280640  PTH03  00-01-08  11939 2020-06-12 21:11:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280641  PTH03  00-01-08  11940 2020-06-13 01:23:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280642  PTH03  00-01-08  11941 2020-06-13 05:35:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280613  PTH03  00-01-08  11912 2020-06-09 04:59:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280614  PTH03  00-01-08  11913 2020-06-09 08:46:09      1      0 -38941.0 -29387.0 -10311.702832  -7781.772711  0.134753  0.128643  0.008716  0.007917
40280615  PTH03  00-01-08  11914 2020-06-09 09:11:34  38942  29387  38941.0  29387.0  91926.295082  69372.590164  1.355264  1.312775  0.092172  0.086152
40280616  PTH03  00-01-08  11915 2020-06-09 10:51:52      1      0 -38941.0 -29387.0 -23294.715852 -17579.461615  0.328908  0.317011  0.021991  0.020363
40280617  PTH03  00-01-08  11916 2020-06-09 13:23:34  38942  29387  38941.0  29387.0  15401.845748  11623.071852  0.210874  0.202495  0.013921  0.012797
40280618  PTH03  00-01-08  11917 2020-06-09 17:35:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280619  PTH03  00-01-08  11918 2020-06-09 21:47:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280620  PTH03  00-01-08  11919 2020-06-10 01:59:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280621  PTH03  00-01-08  11920 2020-06-10 06:11:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff       idiff_ph       odiff_ph         iz         oz     cumiz     cumoz
40280619  PTH03  00-01-08  11918 2020-06-09 21:47:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280620  PTH03  00-01-08  11919 2020-06-10 01:59:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280621  PTH03  00-01-08  11920 2020-06-10 06:11:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280622  PTH03  00-01-08  11921 2020-06-10 06:54:06      1      0 -38941.0 -29387.0  -54932.445141  -41455.015674   0.802037   0.776038  0.054343  0.050690
40280623  PTH03  00-01-08  11922 2020-06-10 10:23:34  38942  29387  38941.0  29387.0   11154.328453    8417.663908   0.147354   0.140868  0.009577  0.008725
40280624  PTH03  00-01-08  11923 2020-06-10 10:26:09      1      0 -38941.0 -29387.0 -904436.129032 -682536.774194  13.505993  13.101347  0.923014  0.865016
40280625  PTH03  00-01-08  11924 2020-06-10 14:35:34  38942  29387  38941.0  29387.0    9367.697962    7069.375209   0.120636   0.114946  0.007750  0.007012
40280626  PTH03  00-01-08  11925 2020-06-10 18:47:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280627  PTH03  00-01-08  11926 2020-06-10 22:59:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff       idiff_ph       odiff_ph         iz         oz     cumiz     cumoz
40280621  PTH03  00-01-08  11920 2020-06-10 06:11:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280622  PTH03  00-01-08  11921 2020-06-10 06:54:06      1      0 -38941.0 -29387.0  -54932.445141  -41455.015674   0.802037   0.776038  0.054343  0.050690
40280623  PTH03  00-01-08  11922 2020-06-10 10:23:34  38942  29387  38941.0  29387.0   11154.328453    8417.663908   0.147354   0.140868  0.009577  0.008725
40280624  PTH03  00-01-08  11923 2020-06-10 10:26:09      1      0 -38941.0 -29387.0 -904436.129032 -682536.774194  13.505993  13.101347  0.923014  0.865016
40280625  PTH03  00-01-08  11924 2020-06-10 14:35:34  38942  29387  38941.0  29387.0    9367.697962    7069.375209   0.120636   0.114946  0.007750  0.007012
40280626  PTH03  00-01-08  11925 2020-06-10 18:47:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280627  PTH03  00-01-08  11926 2020-06-10 22:59:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280628  PTH03  00-01-08  11927 2020-06-11 03:11:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967
40280629  PTH03  00-01-08  11928 2020-06-11 07:23:34  38942  29387      0.0      0.0       0.000000       0.000000   0.019454   0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280627  PTH03  00-01-08  11926 2020-06-10 22:59:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280628  PTH03  00-01-08  11927 2020-06-11 03:11:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280629  PTH03  00-01-08  11928 2020-06-11 07:23:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280630  PTH03  00-01-08  11929 2020-06-11 10:36:47      1      0 -38941.0 -29387.0 -12092.435090  -9125.610282  0.161383  0.154479  0.010536  0.009624
40280631  PTH03  00-01-08  11930 2020-06-11 11:35:34  38942  29387  38941.0  29387.0  39746.980437  29995.236745  0.574945  0.555714  0.038815  0.036134
40280632  PTH03  00-01-08  11931 2020-06-11 15:47:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280633  PTH03  00-01-08  11932 2020-06-11 19:59:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280634  PTH03  00-01-08  11933 2020-06-12 00:11:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280635  PTH03  00-01-08  11934 2020-06-12 04:23:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff       idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280577  PTH03  00-01-08  11876 2020-06-03 06:11:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280578  PTH03  00-01-08  11877 2020-06-03 08:22:18      1      0 -38941.0 -29387.0  -17871.953085 -13487.149414  0.247813  0.238333  0.016446  0.015165
40280579  PTH03  00-01-08  11878 2020-06-03 10:23:34  38942  29387  38941.0  29387.0   19267.124794  14540.021990  0.268677  0.258575  0.017873  0.016502
40280580  PTH03  00-01-08  11879 2020-06-03 10:41:45      1      0 -38941.0 -29387.0 -128494.592117 -96969.019248  1.902126  1.843339  0.129565  0.121206
40280581  PTH03  00-01-08  11880 2020-06-03 14:35:34  38942  29387  38941.0  29387.0    9992.700834   7541.036425  0.129982  0.124014  0.008389  0.007612
40280582  PTH03  00-01-08  11881 2020-06-03 18:47:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280583  PTH03  00-01-08  11882 2020-06-03 22:59:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280584  PTH03  00-01-08  11883 2020-06-04 03:11:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280585  PTH03  00-01-08  11884 2020-06-04 07:23:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280611  PTH03  00-01-08  11910 2020-06-08 20:35:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280612  PTH03  00-01-08  11911 2020-06-09 00:47:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280613  PTH03  00-01-08  11912 2020-06-09 04:59:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280614  PTH03  00-01-08  11913 2020-06-09 08:46:09      1      0 -38941.0 -29387.0 -10311.702832  -7781.772711  0.134753  0.128643  0.008716  0.007917
40280615  PTH03  00-01-08  11914 2020-06-09 09:11:34  38942  29387  38941.0  29387.0  91926.295082  69372.590164  1.355264  1.312775  0.092172  0.086152
40280616  PTH03  00-01-08  11915 2020-06-09 10:51:52      1      0 -38941.0 -29387.0 -23294.715852 -17579.461615  0.328908  0.317011  0.021991  0.020363
40280617  PTH03  00-01-08  11916 2020-06-09 13:23:34  38942  29387  38941.0  29387.0  15401.845748  11623.071852  0.210874  0.202495  0.013921  0.012797
40280618  PTH03  00-01-08  11917 2020-06-09 17:35:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280619  PTH03  00-01-08  11918 2020-06-09 21:47:34  38942  29387      0.0      0.0      0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff       idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280575  PTH03  00-01-08  11874 2020-06-02 21:47:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280576  PTH03  00-01-08  11875 2020-06-03 01:59:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280577  PTH03  00-01-08  11876 2020-06-03 06:11:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280578  PTH03  00-01-08  11877 2020-06-03 08:22:18      1      0 -38941.0 -29387.0  -17871.953085 -13487.149414  0.247813  0.238333  0.016446  0.015165
40280579  PTH03  00-01-08  11878 2020-06-03 10:23:34  38942  29387  38941.0  29387.0   19267.124794  14540.021990  0.268677  0.258575  0.017873  0.016502
40280580  PTH03  00-01-08  11879 2020-06-03 10:41:45      1      0 -38941.0 -29387.0 -128494.592117 -96969.019248  1.902126  1.843339  0.129565  0.121206
40280581  PTH03  00-01-08  11880 2020-06-03 14:35:34  38942  29387  38941.0  29387.0    9992.700834   7541.036425  0.129982  0.124014  0.008389  0.007612
40280582  PTH03  00-01-08  11881 2020-06-03 18:47:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967
40280583  PTH03  00-01-08  11882 2020-06-03 22:59:34  38942  29387      0.0      0.0       0.000000      0.000000  0.019454  0.020968  0.001829  0.001967



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40282864  PTH03  00-01-08  14163 2021-06-28 22:32:11  38833  22254     22.0     23.0      5.238095      5.476190  0.019376  0.020863  0.001823  0.001960
40282865  PTH03  00-01-08  14164 2021-06-29 02:44:11  38838  22256      5.0      2.0      1.190476      0.476190  0.019436  0.020959  0.001828  0.001967
40282866  PTH03  00-01-08  14165 2021-06-29 06:56:11  38870  22261     32.0      5.0      7.619048      1.190476  0.019340  0.020945  0.001821  0.001966
40282867  PTH03  00-01-08  14166 2021-06-29 09:38:27      1      0 -38869.0 -22261.0 -14372.267872  -8231.265407  0.195477  0.137285  0.012868  0.008488
40282868  PTH03  00-01-08  14167 2021-06-29 11:08:11  38967  22271  38966.0  22271.0  26054.531947  14891.456166  0.370180  0.265332  0.024814  0.016948
40282869  PTH03  00-01-08  14168 2021-06-29 15:20:11  39008  22283     41.0     12.0      9.761905      2.857143  0.019308  0.020913  0.001819  0.001964
40282870  PTH03  00-01-08  14169 2021-06-29 19:32:11  39042  22297     34.0     14.0      8.095238      3.333333  0.019333  0.020904  0.001821  0.001963
40282871  PTH03  00-01-08  14170 2021-06-29 23:44:11  39051  22313      9.0     16.0      2.142857      3.809524  0.019422  0.020895  0.001827  0.001963
40282872  PTH03  00-01-08  14171 2021-06-30 03:56:11  39054  22323      3.0     10.0      0.714286      2.380952  0.019443  0.020922  0.001828  0.001964



           area       scp  index                  dt       i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40936862  PTH06  00-00-00   9782 2019-08-28 21:50:53  152289  56310    758.0    272.0    180.476190     64.761905  0.041332  0.029205  0.001644  0.001885
40936863  PTH06  00-00-00   9783 2019-08-29 02:02:53  152356  56367     67.0     57.0     15.952381     13.571429  0.043279  0.030377  0.001813  0.001950
40936864  PTH06  00-00-00   9784 2019-08-29 06:14:53  152387  56371     31.0      4.0      7.380952      0.952381  0.043381  0.030666  0.001821  0.001966
40936865  PTH06  00-00-00   9785 2019-08-29 10:40:28  153534  56786   1147.0    415.0    259.127706     93.755883  0.040402  0.028541  0.001564  0.001848
40936866  PTH06  00-00-00   9786 2019-08-29 11:46:00  192508  34011  38974.0 -22775.0  35683.214649 -20851.983723  0.378807  0.446846  0.034659  0.024520
40936867  PTH06  00-00-00   9787 2019-08-29 14:52:28  153850  56818 -38658.0  22807.0 -12439.113336   7338.684305  0.103736  0.137376  0.010891  0.007354
40936868  PTH06  00-00-00   9788 2019-08-29 19:04:28  154969  56953   1119.0    135.0    266.428571     32.142857  0.040315  0.029952  0.001556  0.001927
40936869  PTH06  00-00-00   9789 2019-08-29 23:16:28  155218  57143    249.0    190.0     59.285714     45.238095  0.042767  0.029652  0.001768  0.001910
40936870  PTH06  00-00-00   9790 2019-08-30 03:28:28  155233  57158     15.0     15.0      3.571429      3.571429  0.043426  0.030606  0.001825  0.001963



           area       scp  index                  dt      i       o    idiff     odiff      idiff_ph       odiff_ph         iz         oz     cumiz     cumoz
42439715  PTH17  01-00-01   1601 2015-08-02 04:04:35      2  720402      0.0       0.0      0.000000       0.000000   0.016880   0.027498  0.001829  0.001967
42439716  PTH17  01-00-01   1602 2015-08-02 08:16:35      2  720402      0.0       0.0      0.000000       0.000000   0.016880   0.027498  0.001829  0.001967
42439717  PTH17  01-00-01   1603 2015-08-02 12:28:35      2  720659      0.0     257.0      0.000000      61.190476   0.016880   0.018247  0.001829  0.001890
42439718  PTH17  01-00-01   1604 2015-08-02 16:40:35      2  721458      0.0     799.0      0.000000     190.238095   0.016880   0.001263  0.001829  0.001726
42439719  PTH17  01-00-01   1605 2015-08-02 18:58:11  39008   30943  39006.0 -690515.0  17008.430233 -301096.656977  53.223131  45.492974  0.015563  0.380497
42439720  PTH17  01-00-01   1606 2015-08-02 20:52:35      2  722045 -39006.0  691102.0 -20457.692308  362466.083916  64.020056  54.770943  0.019090  0.458451
42439721  PTH17  01-00-01   1607 2015-08-02 23:10:11  39175   30956  39173.0 -691089.0  17081.250000 -301346.947674  53.451072  45.530814  0.015638  0.380815
42439722  PTH17  01-00-01   1608 2015-08-03 01:04:35      2  722362 -39173.0  691406.0 -20545.279720  362625.524476  64.294224  54.795047  0.019180  0.458653
42439723  PTH17  01-00-01   1609 2015-08-03 05:16:35      2  722401      0.0      39.0      0.000000       9.285714   0.016880   0.026094  0.001829  0.001956



           area       scp  index                  dt      i       o    idiff     odiff       idiff_ph      odiff_ph        iz         oz     cumiz     cumoz
40027905  PTH03  00-00-00   9565 2019-08-12 01:53:00  24594   12218      3.0      35.0       0.714286  8.333333e+00  0.012343   0.019157  0.001828  0.001957
40027906  PTH03  00-00-00   9566 2019-08-12 06:05:00  24608   12227     14.0       9.0       3.333333  2.142857e+00  0.012320   0.019342  0.001825  0.001965
40027907  PTH03  00-00-00   9567 2019-08-12 10:02:51  64096  274500  39488.0  262273.0    9961.236073  6.616094e+04  0.078304   1.961972  0.008357  0.082073
40027908  PTH03  00-00-00   9568 2019-08-12 10:17:00  25053   12246 -39043.0 -262254.0 -165553.356890 -1.112031e+06  1.494299  33.283548  0.167460  1.410576
40027909  PTH03  00-00-00   9569 2019-08-12 14:14:51  64096  274965  39043.0  262719.0    9848.980450  6.627345e+04  0.077283   1.965342  0.008242  0.082216
40027910  PTH03  00-00-00   9570 2019-08-12 14:29:00  25138   12265 -38958.0 -262700.0 -165192.932862 -1.113922e+06  1.491019  33.340184  0.167091  1.412978
40027911  PTH03  00-00-00   9571 2019-08-12 18:41:00  25183   12294     45.0      29.0      10.714286  6.904762e+00  0.012252   0.019200  0.001818  0.001959
40027912  PTH03  00-00-00   9572 2019-08-12 22:53:00  25203   12315     20.0      21.0       4.761905  5.000000e+00  0.012307   0.019257  0.001824  0.001961
40027913  PTH03  00-00-00   9573 2019-08-13 03:05:00  25205   12340      2.0      25.0       0.476190  5.952381e+00  0.012346   0.019228  0.001828  0.001960



           area       scp  index                  dt      i      o    idiff    odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
40280675  PTH03  00-01-08  11974 2020-06-18 19:59:34  39047  29594     13.0     23.0      3.095238      5.476190  0.019408  0.020863  0.001826  0.001960
40280676  PTH03  00-01-08  11975 2020-06-19 00:11:34  39049  29614      2.0     20.0      0.476190      4.761905  0.019447  0.020877  0.001828  0.001961
40280677  PTH03  00-01-08  11976 2020-06-19 04:23:34  39050  29623      1.0      9.0      0.238095      2.142857  0.019450  0.020927  0.001829  0.001965
40280678  PTH03  00-01-08  11977 2020-06-19 07:43:34      1      0 -39049.0 -29623.0 -11714.700000  -8886.900000  0.155734  0.149890  0.010150  0.009321
40280679  PTH03  00-01-08  11978 2020-06-19 08:49:34  39062  29625  39061.0  29625.0  35510.000000  26931.818182  0.511583  0.496818  0.034482  0.032242
40280680  PTH03  00-01-08  11979 2020-06-19 13:01:34  39085  29633     23.0      8.0      5.476190      1.904762  0.019372  0.020932  0.001823  0.001965
40280681  PTH03  00-01-08  11980 2020-06-19 17:13:34  39107  29649     22.0     16.0      5.238095      3.809524  0.019376  0.020895  0.001823  0.001963
40280682  PTH03  00-01-08  11981 2020-06-19 21:25:34  39113  29667      6.0     18.0      1.428571      4.285714  0.019433  0.020886  0.001827  0.001962
40280683  PTH03  00-01-08  11982 2020-06-20 01:37:34  39114  29686      1.0     19.0      0.238095      4.523810  0.019450  0.020881  0.001829  0.001962



           area       scp  index                  dt      i       o    idiff     odiff      idiff_ph       odiff_ph         iz         oz     cumiz     cumoz
42439717  PTH17  01-00-01   1603 2015-08-02 12:28:35      2  720659      0.0     257.0      0.000000      61.190476   0.016880   0.018247  0.001829  0.001890
42439718  PTH17  01-00-01   1604 2015-08-02 16:40:35      2  721458      0.0     799.0      0.000000     190.238095   0.016880   0.001263  0.001829  0.001726
42439719  PTH17  01-00-01   1605 2015-08-02 18:58:11  39008   30943  39006.0 -690515.0  17008.430233 -301096.656977  53.223131  45.492974  0.015563  0.380497
42439720  PTH17  01-00-01   1606 2015-08-02 20:52:35      2  722045 -39006.0  691102.0 -20457.692308  362466.083916  64.020056  54.770943  0.019090  0.458451
42439721  PTH17  01-00-01   1607 2015-08-02 23:10:11  39175   30956  39173.0 -691089.0  17081.250000 -301346.947674  53.451072  45.530814  0.015638  0.380815
